provinsi,daerah,jenis,tahun,peng,peng_log,Cluster
ACEH,PERDESAAN,MAKANAN,2007,195176.0,12.181662118150028,0
ACEH,PERDESAAN,MAKANAN,2008,218781.0,12.295831079235434,0
ACEH,PERDESAAN,MAKANAN,2009,247427.0,12.418874909577715,0
ACEH,PERDESAAN,MAKANAN,2010,275749.0,12.52724993711575,0
ACEH,PERDESAAN,MAKANAN,2011,308000.0,12.637858308703688,0
ACEH,PERDESAAN,MAKANAN,2012,326182.0,12.695213852544295,0
ACEH,PERDESAAN,MAKANAN,2013,337761.0,12.730096784428898,2
ACEH,PERDESAAN,MAKANAN,2014,368080.0,12.816058301626356,2
ACEH,PERDESAAN,MAKANAN,2015,395136.0,12.886987819192788,2
ACEH,PERDESAAN,MAKANAN,2016,412251.0,12.929390091835183,2
ACEH,PERDESAAN,MAKANAN,2017,494150.0,13.110596417479304,3
ACEH,PERDESAAN,MAKANAN,2018,506656.0,13.135589525024976,3
ACEH,PERDESAAN,MAKANAN,2019,520759.0,13.163044562011333,3
ACEH,PERDESAAN,MAKANAN,2020,566947.0,13.248022867745822,3
ACEH,PERDESAAN,MAKANAN,2021,597940.0,13.301247365857975,3
ACEH,PERDESAAN,MAKANAN,2022,633566.0,13.359121034792636,3
ACEH,PERDESAAN,NONMAKANAN,2007,101285.0,11.525703477329444,0
ACEH,PERDESAAN,NONMAKANAN,2008,112507.0,11.630779609209448,0
ACEH,PERDESAAN,NONMAKANAN,2009,121818.0,11.71029161552408,0
ACEH,PERDESAAN,NONMAKANAN,2010,139779.0,11.84782503703112,0
ACEH,PERDESAAN,NONMAKANAN,2011,166699.0,12.023951068738885,0
ACEH,PERDESAAN,NONMAKANAN,2012,166064.0,12.020134556961677,0
ACEH,PERDESAAN,NONMAKANAN,2013,171013.0,12.04950070347855,0
ACEH,PERDESAAN,NONMAKANAN,2014,195503.0,12.183336118556303,2
ACEH,PERDESAAN,NONMAKANAN,2015,260183.0,12.469144352009238,2
ACEH,PERDESAAN,NONMAKANAN,2016,272829.0,12.5166041695796,2
ACEH,PERDESAAN,NONMAKANAN,2017,287004.0,12.567254916192791,3
ACEH,PERDESAAN,NONMAKANAN,2018,331248.0,12.710625637410088,3
ACEH,PERDESAAN,NONMAKANAN,2019,334915.0,12.721635033096446,3
ACEH,PERDESAAN,NONMAKANAN,2020,378673.0,12.844430955604786,3
ACEH,PERDESAAN,NONMAKANAN,2021,378673.0,12.844430955604786,3
ACEH,PERDESAAN,NONMAKANAN,2022,406040.0,12.91420941870688,3
ACEH,PERDESAAN,TOTAL,2007,296461.0,12.599674327317778,0
ACEH,PERDESAAN,TOTAL,2008,331288.0,12.710746385201304,0
ACEH,PERDESAAN,TOTAL,2009,369245.0,12.819218367565824,0
ACEH,PERDESAAN,TOTAL,2010,415528.0,12.937307686269248,0
ACEH,PERDESAAN,TOTAL,2011,474699.0,13.07043830453941,2
ACEH,PERDESAAN,TOTAL,2012,492246.0,13.106735902018606,2
ACEH,PERDESAAN,TOTAL,2013,508774.0,13.13976115458075,2
ACEH,PERDESAAN,TOTAL,2014,563583.0,13.24207166967537,2
ACEH,PERDESAAN,TOTAL,2015,655319.0,13.3928789449342,2
ACEH,PERDESAAN,TOTAL,2016,685080.0,13.437292358428781,2
ACEH,PERDESAAN,TOTAL,2017,781155.0,13.568530152793716,3
ACEH,PERDESAAN,TOTAL,2018,837905.0,13.63866120133478,3
ACEH,PERDESAAN,TOTAL,2019,855674.0,13.65964591013268,3
ACEH,PERDESAAN,TOTAL,2020,945621.0,13.759598191014767,1
ACEH,PERDESAAN,TOTAL,2021,976613.0,13.791846765956464,1
ACEH,PERDESAAN,TOTAL,2022,1039606.0,13.854353315085788,1
ACEH,PERKOTAAN,MAKANAN,2007,226639.0,12.331118134504399,0
ACEH,PERKOTAAN,MAKANAN,2008,258233.0,12.461621429593059,0
ACEH,PERKOTAAN,MAKANAN,2009,315245.0,12.661108565404083,0
ACEH,PERKOTAAN,MAKANAN,2010,341142.0,12.740057023199698,0
ACEH,PERKOTAAN,MAKANAN,2011,383579.0,12.857303482988828,0
ACEH,PERKOTAAN,MAKANAN,2012,432567.0,12.977494818428974,2
ACEH,PERKOTAAN,MAKANAN,2013,458451.0,13.035610875994433,2
ACEH,PERKOTAAN,MAKANAN,2014,505525.0,13.13335475034351,2
ACEH,PERKOTAAN,MAKANAN,2015,466355.0,13.052704569945517,2
ACEH,PERKOTAAN,MAKANAN,2016,548853.0,13.215587747054652,2
ACEH,PERKOTAAN,MAKANAN,2017,610732.0,13.322415154103043,3
ACEH,PERKOTAAN,MAKANAN,2018,637432.0,13.365204452452316,3
ACEH,PERKOTAAN,MAKANAN,2019,639421.0,13.368319922272764,3
ACEH,PERKOTAAN,MAKANAN,2020,655222.0,13.392730914689977,3
ACEH,PERKOTAAN,MAKANAN,2021,734401.0,13.506811841596257,3
ACEH,PERKOTAAN,MAKANAN,2022,736172.0,13.509220424437894,3
ACEH,PERKOTAAN,NONMAKANAN,2007,210374.0,12.256646931493107,0
ACEH,PERKOTAAN,NONMAKANAN,2008,249377.0,12.426725096629092,0
ACEH,PERKOTAAN,NONMAKANAN,2009,256204.0,12.453733184257459,0
ACEH,PERKOTAAN,NONMAKANAN,2010,307607.0,12.63658152407777,0
ACEH,PERKOTAAN,NONMAKANAN,2011,373271.0,12.830062655392506,0
ACEH,PERKOTAAN,NONMAKANAN,2012,385949.0,12.863463106378,2
ACEH,PERKOTAAN,NONMAKANAN,2013,470393.0,13.061325920383167,2
ACEH,PERKOTAAN,NONMAKANAN,2014,470402.0,13.061345053097238,2
ACEH,PERKOTAAN,NONMAKANAN,2015,529945.0,13.18053039354504,2
ACEH,PERKOTAAN,NONMAKANAN,2016,559492.0,13.234786295485163,2
ACEH,PERKOTAAN,NONMAKANAN,2017,576134.0,13.264097287216499,3
ACEH,PERKOTAAN,NONMAKANAN,2018,633864.0,13.359591276991809,3
ACEH,PERKOTAAN,NONMAKANAN,2019,640399.0,13.369848260104696,3
ACEH,PERKOTAAN,NONMAKANAN,2020,704431.0,13.46514708330601,3
ACEH,PERKOTAAN,NONMAKANAN,2021,724090.0,13.492672354077186,3
ACEH,PERKOTAAN,NONMAKANAN,2022,716409.0,13.482007907753573,3
ACEH,PERKOTAAN,TOTAL,2007,437013.0,12.987720510177839,0
ACEH,PERKOTAAN,TOTAL,2008,507609.0,13.137468715179931,0
ACEH,PERKOTAAN,TOTAL,2009,571449.0,13.255932269325744,0
ACEH,PERKOTAAN,TOTAL,2010,648749.0,13.382802713462235,2
ACEH,PERKOTAAN,TOTAL,2011,756850.0,13.536921683455612,2
ACEH,PERKOTAAN,TOTAL,2012,818516.0,13.61524944527831,2
ACEH,PERKOTAAN,TOTAL,2013,928844.0,13.741697157804577,2
ACEH,PERKOTAAN,TOTAL,2014,975927.0,13.79114409218225,2
ACEH,PERKOTAAN,TOTAL,2015,996300.0,13.811804699746185,2
ACEH,PERKOTAAN,TOTAL,2016,1108346.0,13.918380274155025,1
ACEH,PERKOTAAN,TOTAL,2017,1186867.0,13.986828462690326,1
ACEH,PERKOTAAN,TOTAL,2018,1271297.0,14.055548983744181,1
ACEH,PERKOTAAN,TOTAL,2019,1279820.0,14.06223078236675,1
ACEH,PERKOTAAN,TOTAL,2020,1359653.0,14.122740813579366,1
ACEH,PERKOTAAN,TOTAL,2021,1458492.0,14.192914268826904,1
ACEH,PERKOTAAN,TOTAL,2022,1452581.0,14.188853220503699,1
ACEH,PERDESAANPERKOTAAN,MAKANAN,2011,329257.0,12.70459691695651,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2012,356132.0,12.783059535570361,2
ACEH,PERDESAANPERKOTAAN,MAKANAN,2013,371838.0,12.826216243873269,2
ACEH,PERDESAANPERKOTAAN,MAKANAN,2014,406835.0,12.91616543481626,2
ACEH,PERDESAANPERKOTAAN,MAKANAN,2015,415354.0,12.936888855234969,2
ACEH,PERDESAANPERKOTAAN,MAKANAN,2016,451952.0,13.02133347110695,2
ACEH,PERDESAANPERKOTAAN,MAKANAN,2017,529161.0,13.17904990214435,3
ACEH,PERDESAANPERKOTAAN,MAKANAN,2018,547668.0,13.213426368841306,3
ACEH,PERDESAANPERKOTAAN,MAKANAN,2019,559299.0,13.23444128080968,3
ACEH,PERDESAANPERKOTAAN,MAKANAN,2020,595634.0,13.297383342336762,3
ACEH,PERDESAANPERKOTAAN,MAKANAN,2021,643591.0,13.374820263942315,3
ACEH,PERDESAANPERKOTAAN,MAKANAN,2022,668480.0,13.412763253280287,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2011,224798.0,12.322961948593202,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2012,227968.0,12.33696493378023,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2013,255543.0,12.451149885149517,2
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2014,273015.0,12.51728568050832,2
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2015,336764.0,12.727140636710425,2
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2016,356142.0,12.783087614573446,2
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2017,373833.0,12.831567127598603,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2018,426149.0,12.962546675950444,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2019,434133.0,12.98110852118766,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2020,484536.0,13.090949074786177,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2021,494227.0,13.110752228155484,3
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2022,511651.0,13.145399985429377,3
ACEH,PERDESAANPERKOTAAN,TOTAL,2011,554055.0,13.225021043653367,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2012,584100.0,13.277829192062546,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2013,627381.0,13.349310884496106,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2014,679850.0,13.429628935495451,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2015,752118.0,13.53064983509346,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2016,808094.0,13.602434904849346,2
ACEH,PERDESAANPERKOTAAN,TOTAL,2017,902994.0,13.713472295285232,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2018,973817.0,13.78897970684826,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2019,993433.0,13.808922906960575,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2020,1080171.0,13.892630845679252,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2021,1137819.0,13.94462470892588,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2022,1180132.0,13.981137701954749,1
SUMATERA UTARA,PERDESAAN,MAKANAN,2007,171299.0,12.05117168431221,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2008,198301.0,12.19754640018572,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2009,219171.0,12.297612088670625,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2010,248859.0,12.424645768329622,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2011,308555.0,12.639658629354992,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2012,340053.0,12.736859707510634,2
SUMATERA UTARA,PERDESAAN,MAKANAN,2013,363252.0,12.802854840173374,2
